company	JR	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	30	17	0.0000001855149896111606
case	JR	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	30	17	0.0000005283122536744117
brand	JR	3	3	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	30	17	0.000004026629442714485
word	JR	1	1	35206	13586	0.515761448349	-0.93939201984472	-0.981726498555239	30	17	0.0000009468083091897215
title	JR	5	4	15414	9921	0.665151515151	-0.748697031653329	-0.997140005395198	30	17	0.00005406340556204317
manufacturer	JR	2	2	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	30	17	0.0000069451678994339694
famous brand	JR	1	1	1575	945	0.459740259740	-0.789656385799184	-0.987567323928062	30	17	0.000021164021164021164
designation	Jr	1	0	1101	722	0.470695970695	-0.742403765670033	-0.995652853401785	30	17	0.00003027550711474417
top name	JR	1	1	747	633	0.503496503496	NULL	NULL	30	17	0.00004462293618920125
suffix	JR	5	5	180	92	0.554545454545	NULL	NULL	30	17	0.00462962962962963
public transportation system	JR	1	1	77	45	0.285714285714	NULL	NULL	30	17	0.00043290043290043295
initial	JR	1	1	41	40	0.436363636363	NULL	NULL	30	17	0.0008130081300813008
railway system	JR	1	1	19	19	0.818181818181	NULL	NULL	30	17	0.0017543859649122805
name suffix	JR	3	2	14	6	0.333333333333	NULL	NULL	30	17	0.021428571428571425
generation designation	Jr	1	1	2	2	0.500000000000	NULL	NULL	30	17	0.016666666666666666
seniority suffix	JR	1	1	2	2	0.500000000000	NULL	NULL	30	17	0.016666666666666666
first and last initial	JR	1	1	1	1	1.000000000000	NULL	NULL	30	17	0.03333333333333333
celebrity client	JR & Lauren Ridinger	1	1	261	200	0.522580645161	NULL	NULL	1	1	0.0038314176245210726
high end radio	JR 12X	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
popular product area	JR accessory	1	1	2	2	NULL	NULL	NULL	1	1	0.5
company	JR Automation	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
street	JR Borja	1	1	1637	1422	0.527874564459	-0.507669947922645	-0.99748212442115	1	1	0.0006108735491753207
high profile personality	Jr Buying Hydroxyzine No Subscription	1	1	70	21	0.944444444444	NULL	NULL	1	1	0.014285714285714285
